entity,count
China,750
Chinese,136
Africa,90
African,64
Japan,64
SCO,46
Europe,43
ASEAN,42
East Asia,42
the United States,37
Taiwan,33
Japanese,30
Singapore,29
ROK,26
Asia,23
Australia,23
Wen,22
The Chinese Government,19
Hu Jintao,18
Russia,17
the Asia-Pacific region,17
Iraq,17
China-Africa,16
the United Nations,15
APEC,14
the Chinese Government,13
Wen Jiabao,13
Yang,12
SAARC,12
South Africa,12
the United Kingdom,11
Yang Jiechi,10
Sino-US,10
East Asian,10
Central Asia,9
ICI,9
Central Asian,8
Asia-Pacific,8
ARF,8
the United Nations Framework Convention on Climate Change,7
Turkmenistan,7
Beijing,7
North-South,7
Russian,7
FTA,7
WTO,7
ADB,7
the Millennium Development Goals,6
UNFCCC,6
Congress,6
the State Council,6
American,6
Iranian,6
European,6
France,6
the Asia Pacific,6
Shanghai,6
Asian,6
Summit,6
Darfur,5
Paulson,5
Bishkek,5
Iraqi,5
the Korean Peninsula,5
Australian,5
Asia Pacific,5
Northeast Asia,5
Philippines,5
Diet,5
Huludao,5
Sino-Japanese,5
South Asia,5
avian,5
Niblett,4
Sino-European,4
the Doha Round,4
China-Russia Economic Forum,4
Afghanistan,4
Kyrgyzstan,4
the Taiwan Straits,4
Straits,4
Convention,4
John Howard,4
India,4
the Republic of Korea,4
The ASEAN Plus Three,4
The United Nations,3
United Nations,3
Center,3
the Shanghai Cooperation Organization SCO,3
SED,3
Nixon,3
the Middle East,3
Viktor Zubkov,3
Kazakhstan,3
the African Union,3
Sudan,3
the National Program on Addressing Climate Change,3
Rice,3
Iran,3
Sydney,3
Shinzo Abe,3
New Zealand,3
Howard,3
the Asia-Pacific,3
Kyoto Protocol,3
the World Economic Forum,3
the Peoples Republic of China,3
Chinese Government,3
Pakistan,3
Shanghai Cooperation Organization,3
Bakiev,3
the ASEAN Plus Three,3
the US,3
the Boards of Governors,3
the Peoples Bank of China,3
the State Council of The Peoples Republic of China,3
the European Union,3
the East Asia Summit,3
the Scientific Outlook on Development,2
Dear Colleagues,2
the UN Charter,2
the United Nations Regional Center for Central Asia on Preventive Diplomacy,2
Eurasian,2
Henry Paulson,2
Bush,2
the Royal Institute of International Affairs London,2
Chatham House,2
the Communist Party of China,2
National Congress,2
congress,2
Earth,2
Scientific Thinking on Development,2
Terracotta Army,2
the British Museum,2
British,2
Britain,2
Samuel Johnson,2
South-South,2
the National University of Singapore,2
Wong Kan Seng,2
Lee Kuan Yew,2
the Singapore Chinese Chamber of Commerce Industry,2
Randt,2
Zhou Enlai,2
Putin,2
Uzbekistan,2
Kazakh,2
Tajik,2
the UN General Assembly,2
Middle East,2
Doha,2
the National Leading Group on Addressing Climate Change,2
the Asia-Pacific Network,2
Forest Rehabilitation,2
George W Bush,2
Vladimir Putin,2
the South China Sea,2
Asia-Pacific region,2
The Asia-Pacific region,2
APEC Business Summit,2
Dalian,2
Gentlemen,2
the Council of Heads of State,2
Tajikistan,2
Wu Yi,2
Bakiyev,2
Kyrgyz,2
East Asia Community,2
Councilor Tang Jiaxuan,2
Dear Friends,2
The Beijing Summit,2
Egypt,2
IPR,2
Chamber of Commerce,2
Shanghai International Convention Center,2
Rwandan,2
Paul Kagame,2
Verde Pedro Pires,2
Madagascar Marc Ravalomanana,2
the ADB Donald Kaberuka,2
Zhou Xiaochuan,2
Renminbi,2
the State Council of the Peoples Republic of China,2
Yohei Kono,2
the House of Representatives,2
the House of Councilors,2
Jianzhen,2
Buddhist,2
Marshal Nie,2
Mihoko,2
the Japanese Government,2
Speech,2
Silla,2
the Ming Dynasty,2
South Asian,2
The University of Pretoria,2
South African,2
the South African Government,2
Gloria Macapagal-Arroyo,2
