entity,count
China,1308
Chinese,340
Xi Jinping,106
Africa,93
France,87
Arab,77
the Global South,57
Asia,54
Hungary,50
Peru,47
African,40
SCO,40
Ukraine,38
Brazil,37
Palestinian,34
Europe,33
BRICS,32
New Zealand,32
the Peoples Republic of China,31
Kazakhstan,30
Palestine,29
Global South,28
Gaza,28
Russia,27
CPC,26
ASEAN,26
Taiwan,26
Asia-Pacific,24
Asian,23
Serbia,22
the Global Development Initiative,22
Tajikistan,22
Australia,22
the Global Security Initiative,20
Malaysia,20
Latin America,19
the Global Civilization Initiative,19
the Middle East,19
French,18
Israeli,17
GSI,16
the United States,14
Beijing,14
the United Nations,14
GDI,14
Party,13
Myanmar,12
APEC,12
HE Xi Jinping,11
WTO,11
Friends,11
Vision,11
Hungarian,11
Afghanistan,10
COVID-,10
the Asia-Pacific,10
New China,9
China-Africa Cooperation,9
Central Asia,9
Latin American,9
the South China Sea,9
South,9
Iran,9
Serbian,9
Macron,9
the Red Sea,9
HE Wang Yi,8
European,8
Peruvian,8
Shanghai,8
Western,8
GCI,8
Saudi Arabia,8
the UN Security Council,8
Xi Jinpings,7
Korean Peninsula,7
Central Asian,7
Japan,7
American,7
the CPC Central Committee,7
APT,7
Earth,7
Wang Yi,7
Dear Friends,7
South-South,7
San Francisco,7
Central Committee,6
the Communist Party of China,6
FOCAC,6
Caribbean,6
the UN General Assembly,6
the New Era,6
the International Monetary Fund,6
the World Trade Organization,6
Summit,6
North-South,6
sci-tech revolution,6
Russian,6
China-Africa,6
Kazakh,6
sci-tech,6
the Party Central Committee,6
Rio de Janeiro,5
the China International Import Expo,5
the African Union,5
Lima,5
The Vision of Building a Community,5
BRI,5
Eurasian,5
Middle East,5
Viktor Orbn,5
Paris,5
the G Summit,4
UN General Assembly,4
Syria,4
the Shanghai Cooperation Organization SCO,4
Indonesia,4
India,4
Japanese,4
Dear Experts and Friends,4
Lebanon,4
South Africa,4
Brazilian,4
Boluarte,4
the Regional Comprehensive Economic Partnership,4
Chancay Port,4
Colleagues,4
Silk Road,4
the Shanghai Cooperation Organization,4
Tajik,4
Rahmon,4
Belt,4
Organization,4
Tams Sulyok,4
Budapest,4
Emmanuel Macron,4
Israel,4
Palestinians,4
Strait,4
Road Forum for International Cooperation,4
the Central Conference on Work Relating to Foreign Affairs,4
the Security Council,3
Syrian,3
Putin,3
Biden,3
Luiz Incio Lula da Silva,3
the World Bank,3
Lula,3
Rio,3
Inca,3
Incas,3
Vladimir Putin,3
the Global AI Governance Initiative,3
CAEXPO,3
CPC National Congress,3
The Communist Party of China,3
The China-Africa,3
The Global South,3
the China International Fair for Trade in Services,3
Tokayev,3
Eastern,3
Dalian,3
Auckland,3
Nizhny Novgorod,3
the League of Arab States,3
Keynote Speech,3
Orbn,3
Central,3
Aleksandar Vui,3
Vui,3
Confucius,3
the Taiwan Strait,3
Hainan,3
Africans,2
Initiative on International Cooperation in Open Science,2
Pacific island,2
Germany,2
the United Kingdom,2
Viet Nam,2
Laos,2
Cambodia,2
Belarus,2
Americans,2
the Korean Peninsula,2
the UN Climate Change Conference COP,2
the Investment Facilitation for Development Agreement,2
the Kunming-Montreal Global Biodiversity Framework,2
Security Council,2
Hangzhou,2
Global Alliance Against Hunger and Poverty,2
Dina Boluarte,2
Pacific,2
the Comprehensive and Progressive Agreement for,2
Trans-Pacific Partnership,2
CPTPP,2
the Digital Economy Partnership Agreement,2
the Business Community Ladies and Gentlemen,2
the China Ships,2
Chancay,2
Callao Air Base,2
