entity,count
China,1021
Chinese,226
Africa,99
Brazil,71
African,69
Asia,63
SCO,62
ASEAN,58
Taiwan,53
Chile,47
the United Nations,39
Arab,38
Afghanistan,33
Latin America,30
Asian,27
Latin American,27
NAM,22
Brazilian,22
Straits,21
WTO,20
India,20
Hu Jintao,19
Summit,19
Chilean,19
the Chinese Government,17
China-Africa,16
Wu Bangguo,15
Europe,14
South-South,14
the Middle East,14
The Chinese Government,13
the Taiwan Straits,12
Beijing,10
Russia,10
China-Africa Cooperation,9
Afghan,9
Romania,9
the Peoples Republic of China,8
CPC,8
Iranian,8
European,8
Li Zhaoxing,8
Arabic,8
APEC,7
the China-Arab Cooperation Forum,7
IPR,6
Indian,6
the UN Security Council,6
East Asia,6
NPC,6
the Standing Committee of Chinas,6
National Peoples Congress NPC,6
Tang,6
Romanian,6
the UN Charter,5
the World Trade Organization,5
Gentlemen,5
Asia-Europe,5
the Doha Round,5
Korean,5
Middle East,5
The United Nations,5
Council,5
China-Chile Economic and Trade Cooperation Forum,5
Raising China-Chile Economic and Trade Cooperation,5
Caribbean,5
Kazakhstan,5
Uzbekistan,5
the Asia Pacific,4
Forum,4
the Millennium Development Goals,4
Malaysia,4
Yang,4
Cuba,4
Iran,4
San Diego,4
the Communist Party of China,4
Deng Xiaoping,4
Jiang Zemin,4
the League of Arab States,4
LAS,4
Kyrgyzstan,4
Tajikistan,4
Saudi Arabia,4
the State Council of the Peoples Republic of China,3
the CPC Central Committee,3
Business Representatives,3
Wen Jiabao,3
FOCAC,3
Southeast Asia,3
CSIS,3
Bush,3
Sino-US,3
the United States,3
Kofi Annan,3
Israeli,3
Northeast Asia,3
Lebanon,3
Palestinian,3
Organization,3
the Standing Committee of the National Peoples Congress NPC,3
the China-Chile Economic and Trade Cooperation Forum,3
Senate,3
Frei,3
Zhang Ruizhen,3
Lula,3
China-Arab Cooperation Forum,3
the Rio Group,3
Putin,3
the United Arab Emirates,3
the Shanghai Cooperation Organization SCO,3
the Shanghai Spirit,3
the Shanghai Summit,3
Kabul,3
the Afghanistan Compact,3
Partners,3
Dear Colleagues,2
the Human Rights Council,2
Dear Friends,2
American,2
East,2
New China,2
Bombay,2
South Asia,2
the South Asian Association for Regional Cooperation,2
the Ministry of Commerce of China,2
Wang Gang,2
the General Office of the CPC Central Committee,2
Hanoi,2
The Asia Pacific,2
North-South,2
the UN General Assembly,2
the African Union,2
NEPAD,2
the UN Millennium Development Goals,2
the Third Ministerial Conference of the Forum on China-Africa Cooperation,2
Meles Zenawi,2
the State Council Of the Peoples Republic of China,2
The Beijing Summit,2
the Beijing Summit of the Forum on China-Africa Cooperation,2
Guangxi,2
Nanning,2
Indian Ocean,2
Treaty,2
Pakistan,2
Security Council,2
Dear Colleagues Ladies and Gentlemen,2
the NAM Troika,2
the Security Council Resolution,2
Korean Peninsula,2
the Cuban Government,2
Germany,2
SME,2
ASEM,2
the World Health Organization,2
South Asian,2
FTA,2
the Standing Committee of the National Peoples Congress of China,2
Eduardo Frei Ruiz-Tagle Ladies,2
the Pacific Ocean,2
the Republic of Chile,2
the National Peoples Congress NPC,2
democratic,2
Pacific,2
Lagos,2
the China-Chile,2
The China-Chile,2
China Minmetals Corporation,2
China Development Bank,2
Codelco,2
Brasilia,2
Aldo Rebelo,2
Chamber of Deputies,2
the Chamber of Deputies,2
MoU,2
SEF,2
Shanghai Cooperation Organization,2
the Andean Community of Nations,2
Latin-American,2
Latin-America,2
Committee,2
St Petersburg,2
the Council of the Foreign Ministers of Member Countries,2
Mohammed Hussain Al Shaali,2
Mohammad Hussain Al Shaali,2
Amre Moussa,2
Arab States,2
the Asia-Pacific region,2
Shanghai,2
the Shanghai Five,2
Eurasia,2
Karzai,2
the Association of Southeast Asian Nations,2
the Tashkent Summit,2
Russian,2
the Conference on Interaction and Confidence-Building Measures,2
China-Romania Economic and Trade Forum,2
Morocco,2
Nigeria,2
Kenya,2
