entity,count
China,351
Chinese,137
Asia,39
ASEAN,32
SCO,31
Malaysia,26
Asian,26
the United Nations,20
Viet Nam,20
Central Asian,18
the Peoples Republic of China,15
Xi Jinping,14
the Global South,13
GCC,13
the Global Development Initiative,12
Vietnamese,12
Beijing,11
Friends,11
HE Xi Jinping,10
the World Anti-Fascist War,10
Taiwan,8
the Global Civilization Initiative,8
Central Asia,8
Party,7
the Global Security Initiative,7
GDI,7
the Chinese Peoples War of Resistance Against Japanese Aggression,7
Japanese,7
Tianjin,7
Russia,7
the Soviet Union,7
WTO,6
Harbin,6
the Communist Party of China,5
Kuala Lumpur,5
The China-Viet Nam,5
the Shanghai Cooperation Organization,4
Luiz Incio Lula da Silva,4
North-South,4
Global South,4
BRICS,4
Anwar Ibrahim,4
Summit,4
Kazakhstan,4
the State Council of the Peoples Republic of China,4
Malaysian,4
Caribbean,4
the Soviet Unions Great Patriotic War,4
Russian,4
the Beijing World Conference on Women,3
Central Committee,3
Colleagues,3
solidarity,3
Europe,3
Luban Workshops,3
Li Qiang,3
HE Li Qiang,3
Keynote Speech,3
Central Asia Spirit,3
the China-CELAC Forum,3
Latin American,3
Latin America,3
East Asia,3
the China-Viet Nam,3
Davos,3
Keynote Address,2
Belt,2
the Central Committee of the Communist Party of China,2
the State Council,2
Hong Kong,2
New China,2
New York,2
the Global Governance Initiative,2
the Security Council,2
Ukraine,2
the United Nations Climate Summit,2
Nationally Determined Contributions,2
Antnio Guterres,2
Earth,2
the World Trade Organization,2
The Chinese Peoples War of Resistance Against Japanese Aggression,2
GGI,2
Organization,2
East,2
Kyrgyzstan,2
Remarks,2
Brazil,2
Astana,2
the Association of Southeast Asian,2
the Gulf Cooperation Council,2
Dato,2
Southeast Asia,2
South-South,2
Peru,2
Chongqing,2
CPC,2
European,2
Viet Nams,2
HE Ding Xuexiang,2
AIIB,2
Global Security Initiative,2
the Ministry of Foreign Affairs,2
the World Economic Forum,2
WEF,2
United Nations,1
Womens Education,1
UNESCO,1
UN Women,1
a Global Center for Womens Capacity Building,1
the Chinese Peoples Liberation Army,1
Armed Police,1
Macao Special Administrative Regions,1
Macao,1
the Party Central Committee,1
the Shanghai Cooperation Organization Tianjin Summit,1
Palestinian,1
Israeli,1
the International Organization for Mediation,1
sci-tech,1
the Global Al Governance Initiative,1
World AI Cooperation Organization,1
the United Nations Development Programme,1
Shanghai,1
the Great Way,1
the National Carbon Emissions Trading Market,1
Artificial Intelligence AI,1
I Carrying,1
V Carrying,1
Antonio Guterres,1
The Global Development Initiative,1
the UN General Assembly,1
North,1
South,1
the World Health Organization,1
the China Program,1
the World Artificial Intelligence Cooperation Organization,1
International Cooperation Initiative,1
the Global Development Capital Pool,1
International Alliance of Sustainable Development Satellites,1
the Virtual BRICS Summit,1
Strong,1
Excellencies,1
the,1
the National Peoples Congress,1
the National Committee of the Chinese Peoples Political Consultative Conference,1
the Central Military Commission,1
the national united front,1
The Chinese Peoples Liberation Army,1
Marxism-Leninism,1
Mao Zedong,1
Deng Xiaoping Theory,1
the Scientific Outlook on Development,1
the New Era,1
Friends and Comrades,1
Allied,1
Justice,1
the Shanghai Cooperation Organization Plus Meeting Tianjin,1
the Shanghai Spirit,1
SCO Universal Center for Countering Security Challenges,1
the Beidou Satellite Navigation System,1
the International Lunar Research Station,1
the SCO Green and Sustainable Development Forum,1
Traditional Medicine,1
the Eurasian Economic Union,1
the Conference on Interaction and Confidence Building Measures,1
the Council of Heads of State Of the Shanghai Cooperation Organization Tianjin,1
the China-Europe Railway Express,1
the SCO Good-Neighborliness Friendship and Cooperation Commission,1
West,1
the SCO Universal Center for Countering Security Challenges,1
the SCO Interbank Consortium,1
Haihe River,1
Sadyr Japarov,1
the Council of Heads,1
the State Council of the Peoples Republic of China At,1
the XVII BRICS Summit Rio de Janeiro,1
Luiz Inacio Lula da Silva,1
Lula,1
Indonesia,1
the BRICS New Industry Golden Egret Excellence Scholarships,1
Kassym-Jomart Tokayev,1
Tokayev,1
the Xian Vision for,1
Uzbekistan,1
Min-Ning Town,1
Secretariat,1
the Yellow Sea,1
the Caspian Sea,1
the Tianshan Mountain Range,1
the Pamir Plateau,1
Safe City,1
Afghanistan,1
Ancient,1
Speech,1
the Middle East,1
Nanyang,1
Sabah Khalid Al-Hamad Al-Sabah,1
The China-ASEAN Free Trade Area,1
the China-GCC Free Trade Agreement,1
Anwar,1
