entity,count
China,889
Chinese,217
Xi Jinping,88
ASEAN,82
CEE,41
Peninsula,39
Africa,36
the South China Sea,29
Xi Jinpings,28
DPRK,27
BRICS,26
the United States,22
African,22
Russia,21
European,20
East Asia,20
Asia,20
the Korean Peninsula,18
Europe,17
APT,17
COC,16
Japan,15
Taiwan,13
the United Nations,12
ROK,12
Security Council,12
the CPC Central Committee,11
CPC,10
Beijing,10
Party,10
Party Congress,10
Premier,10
National Congress of the Communist Party of China,9
Afghanistan,9
Trump,8
the Xiamen Summit,8
South-South,8
East Asian,8
Asian,8
Hong Kong,8
Schwab,8
CPC National Congress,7
the UN Charter,7
DOC,7
the Security Council,7
Budapest,7
EAS,7
EAEC,7
Belt,6
Geneva,6
Philippines,6
India,6
Dear Colleagues,6
Silk Road,6
New China,6
WTO,6
Ningde,6
BRF,5
Li Keqiang,5
Mongolia,5
Shanghai,5
South China Sea,5
Myanmar,5
the Regional Comprehensive Economic Partnership,5
Arab,5
Palestinian,5
Southeast Asia,5
the Peoples Republic of China,5
South Africa,5
Initiative,5
Straits,5
Nanjing,5
Davos,4
the World Economic Forum,4
Laos,4
Pakistan,4
Kazakhstan,4
Manila,4
the East Asia Economic Community,4
LMC,4
the UN Security Council,4
Thailand,4
Korean Peninsula,4
Central,4
the UN General Assembly,4
New York,4
Syria,4
Wang Yi,4
State,4
Hong Kongs,4
the Taiwan Straits,4
Hamburg,3
Germany,3
Eastern European,3
Cambodia,3
Indian,3
the APEC Economic Leaders Meeting,3
Asia-Pacific,3
Latin American,3
Congress,3
the Shanghai Cooperation Organization,3
Caribbean,3
the Middle East,3
Syrian,3
the Foreign Ministry,3
Austria,3
Ningbo,3
The th,3
Made,3
Duterte,3
FTA,3
Indonesia,3
the Asian Infrastructure Investment Bank,3
the Silk Road Fund,3
Xiamen,3
the New Development Bank,3
the Contingent Reserve Arrangement,3
the Silk Road Economic Belt,3
the Communist Party of China,3
China-Africa,3
East,3
West,3
the Asia-Pacific region,3
Jiangsu,3
Eurasian,2
the United Nations Office,2
Vladimir Putin,2
Switzerland,2
French,2
Viet Nam,2
Moon Jae,2
Mongolian,2
Tibet,2
Xinjiang,2
Astana,2
SCO,2
Lancang-Mekong Cooperation,2
The Communist Party of China,2
China-Africa Cooperation,2
the China-CELAC Forum,2
Latin America,2
UN Security Council,2
Israeli,2
Afghan,2
Orban Viktor,2
China-CEEC Business Forum,2
the China-CEEC,2
CEEC,2
Adriatic,2
Panda,2
the China-CEEC Inter-Bank Association,2
The China Development Bank,2
the China-CEEC Investment Cooperation Fund,2
Hungarian,2
the China-Europe Land-Sea Express Line,2
Summit,2
the East Asia Summit,2
AIIB,2
the ASEAN Community,2
CMIM,2
APTERR,2
AMRO,2
East Asia Forum,2
Shenzhen,2
the United Nations General Assembly,2
Brazil,2
the African Union,2
Development Fund,2
Joint Statement,2
the China International Import Expo,2
Marxist,2
Donald Trump,2
The CPC Central Committee,2
Central Asian,2
the BRICS New Development Bank,2
the Central Party Committee,2
CPC Central Committee,2
the State Council,2
Dalian,2
the World Peace Forum,2
Charles Dickens,2
Keynote Speech,2
Fujian Province,2
HE Xi Jinping,2
Changan,2
Islam,2
Samarkand,2
Guangzhou,2
Hungary,2
Rome,2
the Three-Party Talks,2
Tillerson,2
Korean,2
FDI,2
Northeast Asia,2
BIT,2
South,2
North,2
the Xi Jinping Thought,1
Da Nang,1
