entity,count
China,1255
Chinese,256
Africa,152
COVID-,145
African,123
Xi Jinping,94
CPC,69
Afghanistan,68
the United States,64
the United Nations,49
COVID,41
BRI,41
ASEAN,40
Palestine,30
the Peoples Republic of China,28
the UN Charter,26
Asia,25
Taiwan,25
Europe,25
Afghan,25
China-Africa,24
Palestinian,24
Russia,23
the Communist Party of China,22
Xinjiang,22
the Asia-Pacific,22
Party,21
Hong Kong,21
FOCAC,20
Wang Yi,18
Asian,18
Councilor,17
Myanmar,17
Hubei,17
Friends,17
WTO,17
Israel,17
the Middle East,15
Asia-Pacific,15
Earth,13
European,13
APEC,13
Belt,13
CICA,13
the World Trade Organization,12
Tanzania,12
Beijing,11
the Global Development Initiative,11
HE Xi Jinping,11
GDI,10
the UN General Assembly,10
the Security Council,10
HE Wang Yi State,10
South-South,10
the UN Security Council,9
WHO,9
Initiative,9
American,9
Wuhan,9
The United States,8
Global Development Initiative,8
New China,8
the Regional Comprehensive Economic Partnership,8
the CPC Central Committee,7
Caribbean,7
Western,7
solidarity,7
Arab,7
the Global Health Summit,7
DPRK,7
Silk Road,7
Council,7
CPC Central Committee,6
Latin America,6
the World Health Organization WHO,6
America,6
the Comprehensive and Progressive Agreement for,6
Trans-Pacific Partnership,6
East Asian,6
China-Africa Cooperation,6
The Global Development Initiative,6
Solidarity,6
Keynote Speech,6
Nature,6
North-South,6
BRICS,5
Xi Jinpings,5
the green Silk Road,5
the World Health Organization,5
the G Debt Service Suspension Initiative,5
Antnio Guterres,5
The Peoples Republic of China,5
Iranian,5
the Taiwan Strait,4
the China International Import Expo,4
the African Union,4
the China-Europe Railway Express,4
DOC,4
Latin American,4
Peninsula,4
the Digital Economy Partnership Agreement,4
Rome,4
Iran,4
Japanese,4
the Convention on Biological Diversity,4
the General Debate of the th Session,4
FOCAC Beijing Summit,4
the Initiative on Partnership for Africas Development,4
CDC,4
Dear Friends,4
Dear Colleagues,4
Conference,4
West,4
the Peoples Republic,4
Middle East,4
Security Council,4
Biden,4
the World Economic Forum,3
the China International Fair for Trade in Services,3
Vladimir Putin,3
SCO,3
Li Keqiang,3
The Regional Comprehensive Economic Partnership,3
the Korean Peninsula,3
the General Debate,3
Nicaragua,3
Joe Biden,3
Americans,3
the European Union,3
Central Asian,3
the Global Initiative on Data Security,3
Tibet,3
The China-Europe Railway Express,3
Road,3
the AU Commission,3
Africans,3
the Asia-Pacific region,3
The Asia-Pacific,3
CPTPP,3
the South China Sea,3
Mario Draghi,3
COP,3
the Conference of the Parties,3
the General Assembly,3
World Health Assembly,3
UNRWA,3
Tsinghua University,3
Tanzanian,3
World Bank,3
The United Nations,3
CFR,3
ETIM,3
the Arab League,3
the National Committee,3
China Media Group,2
Yanan,2
the Yellow River,2
Yunnan Province,2
State,2
Davos,2
Spring Sprout,2
Justice,2
the Human Rights Council,2
Friendly Cooperation,2
the China-EU,2
French,2
German,2
the Piraeus Port,2
a Comprehensive Strategic Partnership,2
South China Sea,2
United Nations,2
Syrian,2
Syria,2
National Congress,2
CPC National Congress,2
the Global Vaccine Cooperation Action Initiative,2
India,2
CCF,2
Kunming Biodiversity Fund,2
the Taiwan Straits,2
the UN Human Rights Council,2
the Third Committee of the UN General Assembly,2
the Party Central Committee,2
UNGA,2
Laos,2
the Seventh Ministerial Conference,2
Summit,2
the United Nations General Assembly,2
the Extraordinary China-Africa Summit,2
Senegal,2
Vision,2
AfCFTA,2
IMF,2
Special Drawing Rights,2
New Zealand,2
the Putrajaya Vision,2
UN General Assembly,2
The Asia-Pacific region,2
the Symposium on Global Maritime Cooperation,2
COC,2
