entity,count
China,1391
Chinese,280
Xi Jinping,158
ASEAN,126
Party,87
GDI,86
COVID-,85
Taiwan,80
SCO,70
Uzbekistan,56
Africa,56
Kazakhstan,53
CPC,50
the United States,49
Asia,46
the South China Sea,41
the Asia-Pacific,38
Asia-Pacific,35
Jiang,34
the Global Development Initiative,32
Asian,32
GSI,31
African,27
DOC,26
GCC,25
Russia,25
Ukraine,25
Arab,22
BRICS,21
the Peoples Republic of China,21
Hong Kong,21
the UN Charter,20
Islamic,20
the CPC Central Committee,19
East Asian,19
the Global Security Initiative,18
the United Nations,17
Eurasian,17
Afghanistan,16
COVID,16
East Asia,16
Philippines,16
Councilor,15
Cambodia,15
Samarkand,14
National Congress,14
the Communist Party of China,14
Xinjiang,13
CPC Central Committee,13
HE Xi Jinping,13
the Taiwan Strait,13
Initiative,13
APT,13
Wang Yi,13
WTO,12
the Middle East,12
Beijing,11
Europe,11
South-South,11
Xi Jinpings,11
Phnom Penh,11
South China Sea,11
CPC National Congress,10
Friends,10
Shanghai,10
the Regional Comprehensive Economic Partnership,10
Central Asia,9
COC,9
the Party Central Committee,9
Palestinian,9
National Congress of the Communist Party of China,9
American,9
Congress,8
APEC,8
Central Asian,8
solidarity,8
Hun Sen,8
the Shanghai Communiqu,8
VAT,8
Biden,7
Japan,7
North-South,7
The Asia-Pacific,7
Trans-Pacific Partnership,7
the Digital Economy Partnership Agreement,7
EAS,7
CICA,7
the UN General Assembly,7
the Group of Friends,7
Hong Kongs,7
India,6
Mongolia,6
Myanmar,6
China-Africa,6
Laos,6
Comrade Jiang,6
the th,6
the Shanghai Cooperation Organization,6
CPTPP,6
The Global Development Initiative,6
The United States,6
Mirziyoyev,6
the Olympic Movement,6
the Council of Heads of State,5
Indonesia,5
Earth,5
Colleagues,5
Jiang Zemin,5
the Asia-Pacific region,5
Indonesian,5
Cambodian,5
the Comprehensive and Progressive Agreement for,5
State,5
Afghan,5
FOCAC,5
Premier,5
thePhilippines,5
Dear Friends,4
Paralympic Winter Games,4
the Group of Friends of the,4
the Shanghai Cooperation Organization SCO,4
Bangkok,4
Joe Biden,4
European,4
the Korean Peninsula,4
the African Union,4
CIIE,4
Keynote Speech,4
Palestine,4
Eastern,4
Thailand,4
the Global Development and South-South Cooperation Fund,4
the China-UN Peace and Development Fund,4
the United Nations Convention,4
Li Keqiang,4
Kassym-Jomart Tokayev,4
Dear Colleagues,4
HE Wang Yi State,4
the UN Security Council,4
the Penghu Islands,4
Richard Nixon,4
Western,4
Strait,4
Iran,4
Shavkat Mirziyoyev,4
Tokayev,4
Iranian,4
the BRICS Summit,4
Wang Yi State,4
ESCAP,4
Global Development Initiative,4
BRI,4
the Political Bureau of the CPC Central Committee,3
the G Summit,3
Bali,3
Pakistan,3
the ASEAN Way,3
the Horn of Africa,3
Caribbean,3
the Hainan Free Trade Port,3
Belt,3
the World Bank,3
Solidarity,3
the Theory of Three Represents,3
CMC,3
Mao Zedong,3
the World Trade Organization,3
IMF,3
The Communist Party of China,3
Southeast Asia,3
ROK,3
Jakarta,3
Malaysia,3
the Group of Friends of the Global Development Initiative,3
Smart Borders,3
Smart Connectivity,3
New York,3
the Government of the Peoples Republic of China,3
United States,3
West,3
Huawei,3
Guterres,3
the Samarkand Summit,3
National Congress of the,3
Huen Tsang,3
China-Africa Cooperation,3
NATO,3
The Peoples Republic of China,3
Philippine,3
HE Wang Yi,2
the APEC Economic Leaders Meeting,2
Vladimir Putin,2
German,2
Lancang-Mekong,2
The Regional Comprehensive Economic Partnership,2
the Neighboring Countries of Afghanistan,2
the Peoples Republic,2
Latin America,2
Pacific Island,2
Digital Innovation and Cooperation,2
