entity,count
China,1674
Chinese,384
COVID-,307
Africa,138
Xi Jinping,116
African,76
SCO,73
Myanmar,64
Russia,52
Egypt,51
Wang Yi,50
the United States,49
Hong Kong,44
Xinjiang,38
ASEAN,38
American,36
CPC,36
the United Nations,36
Afghanistan,32
Beijing,29
FOCAC,29
Europe,28
the UN Charter,24
AIIB,23
the Peoples Republic of China,22
WHO,20
Alessandra Galloni,20
Taiwan,19
Afghan,19
APEC,19
Belt,17
Councilor,17
BRICS,17
the Middle East,17
India,16
WTO,16
the World Health Organization,16
Xinhua,16
Mekong,16
the Asia-Pacific,15
Wuhan,15
Friends,14
Syria,14
Libya,13
South-South,13
Earth,12
CPC Central Committee,12
Asia-Pacific,12
the South China Sea,11
Syrian,11
BRI,11
Asia,11
the Communist Party of China,10
HE Xi Jinping,10
solidarity,10
Huawei,10
Wang,10
the UN Security Council,9
the CPC Central Committee,9
ROK,9
the Regional Comprehensive Economic Partnership,9
Security Council,9
the Security Council,9
China-Africa,9
the Peoples Republic,9
Hubei,9
Kiribati,9
New China,8
Russian,8
Japan,8
Solidarity,8
Saudi Arabia,8
HE Wang Yi State,8
Kazakhstan,8
Asian,8
LMC,8
Nixon,8
Palestine,8
the World Health Organization WHO,7
the FOCAC Beijing Summit,7
the Global Initiative on Data Security,7
Summit,7
CICA,7
Solomon Islands,7
DPRK,7
Egyptian,7
Americans,6
Tibet,6
the Korean Peninsula,6
the UN General Assembly,6
Initiative,6
ICT,6
The United States,6
Yemen,6
France,6
CIIE,6
States,6
Zhou Enlai,6
COVID,5
Vladimir Putin,5
the World Trade Organization,5
Silk Road,5
The Peoples Republic of China,5
the African Union,5
UN Women,5
CAEXPO,5
Lancang-Mekong,5
East Asia,5
Organization,5
Kyrgyzstan,5
Mongolia,5
Mao Zedong,5
Dear Colleagues,4
Li Keqiang,4
East Asian,4
FTA,4
Central Asian,4
intra-Afghan,4
Arab,4
Party,4
Guterres,4
Agenda,4
the African Continental Free Trade Area,4
CDC,4
Development Trust Fund,4
the New International Land-Sea Trade Corridor,4
Saudi Arabias,4
Western,4
Speech,4
China-Africa Cooperation,4
the China-Africa,4
Tajikistan,4
Hong Kongs,4
Palestinian,4
U Win Myint,4
CMEC,4
Libyan,4
McCarthyism,3
Joe Biden,3
Antnio Guterres,3
Shenzhen,3
Video Conference on Belt and,3
the Comprehensive and Progressive Agreement for,3
Trans-Pacific Partnership,3
CPTPP,3
Central Asia,3
Extraordinary China-Africa Summit,3
Latin American,3
Caribbean,3
Shanghai,3
The United Nations,3
the Shanghai Cooperation Organization SCO,3
CABIS,3
the Conference of the Parties,3
IMF,3
Singapore,3
The Asia-Pacific,3
UN General Assembly,3
Trump,3
Turkey,3
Putin,3
Global Initiative on Data Security,3
the Extraordinary China-Africa Summit,3
Xi Jinpings,3
the General Debate of the th Session,3
the UN Office,3
Geneva,3
Antonio Guterres,3
General Assembly,3
an International Research Center of Big Data for Sustainable Development Goals,3
the United Nations General Assembly,3
Colleagues,3
Xinhua News Agency,3
Digital,3
European,3
the Chinese Government,3
The Shanghai Communiqu,3
State,3
Houston,3
Marxist,3
Lavrov,3
Pakistan,3
West,3
Paris,3
Peninsula,3
Al-Sisi,3
the New Administrative Capital,3
Mediterranean,3
Israel,3
Islamic,3
Iron Curtain,2
Response,2
the Hainan Free Trade Port,2
Pudong,2
Road,2
the China-Europe Railway Express,2
Japanese,2
Iranian,2
Bangladesh,2
the G Debt Service Suspension Initiative,2
