entity,count
China,409
Chinese,147
East Asia,104
the United Nations,50
East Asian,39
Japanese,39
ASEAN,35
Africa,30
the Security Council,28
African,27
Japan,25
Asia,20
APEC,20
the UN Charter,19
CPC,18
Hu Jintao,15
Taiwan,15
Spain,13
Asia-Pacific,11
Council,11
Asian,10
the Asia-Pacific region,10
Sino-Japanese,10
ROK,9
Party,9
the Anti-Fascist War,8
Summit,7
Dear Colleagues,7
the Asia-Pacific,7
Malaysia,6
Kuala Lumpur,6
India,6
Wen,6
the Peoples Republic of China,6
Hong Kong,6
Spanish,6
Germany,6
the Chinese Government,6
The United Nations,6
New York,6
Security Council,6
Canada,6
Wen Jiabao,5
Ecotech,5
Pacific,5
a United Nations,5
Macao,5
The Security Council,5
Mexico,5
the World Anti-Fascist War,5
Europe,5
KMT,5
Philippines,4
German,4
Beijing,4
the UN Summit,4
the UN Security Council,4
Pacific Region,4
Fascist,4
Straits,4
New Zealand,3
Gentlemen,3
Dato,3
Seri Abdullah bin Haji Ahmad Badawi,3
the European Union,3
HE Hu Jintao,3
North,3
South,3
North-South,3
Madrid,3
Northeast,3
Friends and Comrades,3
Li Zhaoxing,3
South-South,3
the Security Council Summit,3
Russia,3
the Inter-Parliamentary Union,3
Mao Zedong,3
Workshop,3
Australia,2
the Republic of Korea,2
the East Asia Summit,2
Cambodia,2
Laos,2
The United States,2
the Chiang Mai Initiative,2
the South China Sea,2
Vietnam,2
the ASEAN Community,2
Roh Moo-hyun,2
Busan,2
WTO,2
Doha,2
Shanghai,2
Carlos,2
Heinrich von Pierer,2
UN Security Council,2
the Central Committee of the Communist Party of China,2
the State Council,2
New China,2
the Korean Peninsula,2
Peninsula,2
Kofi Annan,2
The Chinese Government,2
Bush,2
Sweden,2
the Millennium Development Goals,2
Making Great Efforts to Build a Harmonious World,2
UN General Assembly,2
the Security Councils,2
Wu Bangguo,2
Korea,2
the Asian-Pacific Group,2
IPU,2
National Peoples Congress,2
anti-Fascist,2
Fascism,2
The Chinese Peoples War of Resistance Against Japanese Aggression,2
East,2
Red Army,2
the New Fourth Army,2
the Japanese Government,2
the Rape of Nanjing,2
Louise Arbour,2
the League of Arab States,2
the Association of Southeast Asian Nations,2
the South Asian Association for Regional Cooperation,2
the Pacific Islands Forum,2
Inclusion,1
Peaceful Development,1
Kuala,1
Ladies and Gentlemen Dear Friends,1
the East Asia Summit Leaders Dialogue,1
East Asia Summit,1
Western China,1
Northeast China,1
Southeast Asian,1
Southeast Asia,1
the East ASEAN Growth Area,1
the China-ASEAN Free Trade Area,1
Greater Mekong Subregion,1
Myanmar,1
American,1
North America,1
the East Asia,1
the Shanghai Cooperation Organization SCO,1
ASEAN Regional Forum,1
Asia Cooperation Dialogue,1
Asia-Pacific Economic Cooperation,1
Asia-Europe Meeting,1
ASEM,1
East Asia-Latin America Cooperation,1
Asia-Middle East,1
South Asian Association for Regional Cooperation,1
ASEAN Plus Three Summit,1
the Malaysian Government,1
the Indian Ocean,1
BSA,1
The East Asia Forum,1
NEAT,1
the Joint Study Convention,1
East Asia Free Trade Area,1
the Asian Regional Research Center,1
UNDP,1
Poverty Alleviation,1
the United States,1
Deepen Comprehensive Cooperation and,1
the Agreement Area,1
Working Group,1
The Second Greater Mekong Subregion Economic Cooperation Summit,1
Kunming,1
China-ASEAN Eminent Persons Group,1
the China-ASEAN Plan of Action,1
the Agreement on Trade in Goods,1
Mekong Basin,1
China-ASEAN Information Highway,1
Greater Mekong Subregion Information Highway,1
the China-ASEAN Fund for Public Health,1
National Bird Flu Reference Laboratory,1
China-ASEAN Health Ministers Meeting on Emerging Infectious Diseases,1
the International Pledging Conference on Avian and Human Influenza,1
the World Bank,1
Summit Busan,1
the UN International Conference on Financing for Development,1
Speech,1
Fellow Colleagues,1
the Government of the Republic of Korea,1
the Development of Renewable Energy,1
The Bogor Goals,1
IAP,1
CAP,1
Busan Lotte Hotel,1
Later Hu,1
Chey Tae-won,1
South Koreas,1
SK Group,1
Busan Hur Nam-sik,1
the Chinese Consulate General,1
Juan Carlos,1
King Carlos,1
