noun_phrase,count
china,1570
asia,201
asean,129
africa,105
cee,97
chinese people,87
ladies,81
gentlemen,81
asia-pacific,81
common development,81
thailand,75
pakistan,74
apec,71
african,67
india,63
xi jinping,60
us $,58
russia,57
dear,52
new model,50
chinese dream,47
china-asean,47
brics,46
mexico,45
chinese economy,44
world economy,44
win-win cooperation,43
europe,43
economic growth,42
pacific island countries,41
comrade xi jinping,40
chinese government,40
's development,39
sustainable development,39
mutual benefit,38
america,37
international community,37
people 's republic,36
's diplomacy,35
common interests,35
peaceful development,34
world peace,34
china-africa,34
china-pakistan,32
bilateral relations,32
economic development,32
thank,32
g20,32
six-party talks,31
international affairs,31
central committee,30
practical cooperation,30
gdp,30
caribbean,29
chinese nation,29
forum,28
countries,28
beneficial cooperation,27
international financial crisis,27
china-us,27
korean peninsula,26
major-country relationship,25
mutual respect,25
recent years,25
syrian,24
cpc,24
syria,24
switzerland,24
strategic partnership,24
's relations,23
major countries,23
comprehensive strategic partnership,23
sco,23
mutual trust,22
people 's,22
fta,22
h.e,22
dear colleagues,22
silk,21
congress,21
economic cooperation,21
germany,21
international relations,20
meeting,20
mutual understanding,20
china-ceec,20
general secretary,19
new era,19
global economy,19
fourth,19
great renewal,19
steady growth,19
china-thailand,19
xi,18
prime,18
people-to-people exchanges,18
doc,18
kazakhstan,18
tobago,18
china-mexico,18
pakistani,18
nuclear issue,17
china-russia,17
relevant countries,17
world 's,17
own development,17
great pleasure,17
friendly relations,17
important role,17
trinidad,17
chinese characteristics,16
thai,16
september,16
chemical weapons,15
regional cooperation,15
li keqiang,15
solid foundation,15
beijing,15
diplomatic work,15
chinese companies,15
environmental protection,15
domestic demand,15
growth model,15
social development,14
new progress,14
china-eu,14
traditional friendship,14
's reform,14
foreign minister,14
's economy,14
prosperous society,14
development paths,14
boao forum,14
it,14
brazil,14
communist party,13
joint statement,13
tanzania,13
active part,13
investment liberalization,13
common destiny,13
global economic governance,13
tangible benefits,13
common prosperity,13
eu,13
economic structure,13
chinese tourists,13
deepen cooperation,13
bilateral cooperation,13
g77,13
win-win results,12
various fields,12
cultural exchanges,12
looking,12
peninsula,12
distinguished,12
huge potential,12
capita income,12
economic globalization,12
speech,12
strategic cooperation,12
member states,12
ed,12
malaysia,12
economic recovery,11
partnership,11
regional peace,11
ministry,11
national conditions,11
great importance,11
joint efforts,11
constructive role,11
state council,11
diplomatic ties,11
two-way trade,11
crucial stage,11
chinese side,11
long way,11
diplomatic relations,11
rmb,11
asian countries,11
mr.,11
china-india,11
political settlement,10
modern socialist country,10
march,10
development path,10
territorial integrity,10
common ground,10
wang yi,10
putin,10
hard work,10
november,10
reasonable range,10
foreign policy,10
friendly exchanges,10
new type,10
north-south,10
outside world,10
costa rica,10
