entity,count
China,773
Chinese,214
Japan,82
India,71
Asia,65
the United States,44
APEC,40
the Chinese Government,36
Asian,35
Europe,29
Japanese,28
Beijing,27
Wen,26
Hu Jintao,26
The Chinese Government,25
Russia,23
ROK,20
Africa,20
Wen Jiabao,19
the United Nations,17
ASEAN,15
European,14
Indian,14
SCO,14
Waseda University,12
Bush,11
American,11
Taiwan,11
the Beijing Paralympic Games,11
the African Union,11
GMS,11
East Asia,10
Wenchuan,10
African,10
Summit,10
Yang,10
East Asian,9
the International Olympic Committee,9
Kyoto Protocol,8
Kolkata,8
South-South,8
the Middle East,8
the Peoples Republic of China,7
the Asia-Pacific region,7
solidarity,7
Arab,7
South Africa,6
Yasuo Fukuda,6
UNFCCC,6
Fukuda,6
Dear Friends,6
Peru,5
the United Nations Framework Convention on Climate Change,5
New York,5
the Taiwan Strait,5
West Bengal,5
Manmohan Singh,5
Hokkaido,5
Dear Faculty Members and Students,5
Laos,5
HE Hu Jintao,4
Asia-Pacific,4
the Millennium Development Goals,4
Lima,4
Doha,4
Singapore,4
the State Council,4
Asia-Europe,4
Forum,4
Tianjin,4
dans,4
the Security Council,4
Sichuan,4
the International Paralympic Committee,4
Deng Xiaoping,4
Kissinger,4
Toyako,4
North-South,4
Security Council,4
Britain,4
ASEM,3
the Asia-Pacific,3
the World Economy,3
Sichuan Province,3
the Scientific Outlook on Development,3
Washington,3
the World Trade Organization,3
Liu Yongqing,3
the UN Security Council,3
Sino-Russian,3
Xi Jinping,3
Guangxi,3
CAEXPO,3
CABIS,3
the World Economic Forum,3
WEF,3
Americans,3
Korean,3
Iranian,3
Fangfeiyuan,3
Jacques Rogge,3
Paralympians,3
New Delhi,3
the Institute of Chinese Studies,3
the Indian Government,3
Consulate-General,3
the Paralympic Movement,3
Organization,3
the Asian Development Bank,3
the Olympic Movement,3
the Kissinger Institute on China,3
the Kissinger Institute,3
Brazil,3
Mexico,3
The United Nations,3
Treaty,3
Myanmar,3
British,3
the State Council of China,2
Chinese Government,2
Speech,2
Ladies and Gentlemen,2
The Central Government,2
Bali,2
Peruvian,2
the APEC Business Advisory Council,2
Washington DC,2
the Asia-Pacific Economic Cooperation,2
Wang Qishan,2
Earth,2
Congress,2
Moscow,2
Vladimir Putin,2
electro,2
Russian,2
Asia-Europe Business Forum,2
Asia-Europe Peoples Forum,2
Klaus Schwab,2
Switzerland,2
Davos,2
La Chine,2
Henry Kissinger,2
A Shared Vision,2
Guangzhou,2
Rajiv Gandhi,2
Yang Jiechi,2
the Indian Council of World Affairs,2
the Government of West Bengal,2
the Welcoming Luncheon,2
IPC,2
the Olympic Family,2
Rakhmon,2
Tajikistan,2
Antonio Samaranch,2
Honorary,2
Government and Representatives of Royal Families,2
the International Olympic Movement,2
Citius,2
Altius,2
Yang Wenchang,2
the Wilson Center,2
the Ten Year Energy and Environment Cooperation Framework,2
SED,2
the US Government,2
Millennium Development Goals,2
the Global Environment Facility,2
GEF,2
the Adaptation Fund,2
Indonesia,2
the Peoples Republic of China Toyako,2
Dear Colleagues,2
the Japanese Government,2
Katsuhiko Shirai,2
Yohei Kono,2
Li Dazhao,2
Waseda,2
China-Arab Cooperation Forum,2
Bahrain,2
African Union,2
Somalia,2
the African Unions,2
Wang,2
Vientiane,2
Cambodia,2
the Eastern Line,2
Takeo Fukuda,2
CHINA NOW,2
Wen Emphasizes,1
Fukuoka,1
CPC Central Committee,1
the Summit of China,1
Overcome Current Difficulties,1
the Republic of Korean,1
Tripartite Partnership,1
Aso,1
Lee,1
the Chiang Mai Initiative,1
CMI,1
the Asian Bond Markets Initiative,1
Alan Garcia,1
