entity,count
China,957
Chinese,190
Xi Jinping,55
ASEAN,52
Russia,34
Peninsula,33
BRI,27
Africa,27
DPRK,27
Indonesia,26
Wang Yi,26
UAE,24
African,23
Senegal,21
Japan,21
GMS,21
the United States,17
India,13
Premier,13
Party Congress,13
the United Nations,12
Europe,12
SCO,12
the UN Charter,12
WTO,12
the Korean Peninsula,11
Myanmar,11
Security Council,11
IPR,11
Asia,10
the China-CELAC Forum,10
the South China Sea,10
Taiwan,10
Hong Kong,9
Beijing,9
Arab,9
the Middle East,8
Li Keqiang,8
the Peoples Republic of China,8
the Security Council,8
America,8
Friends,7
Shanghai,7
Belt,7
Councilor,7
Senegalese,7
the th,6
China-Africa Cooperation,6
South-South,6
FOCAC,6
South Africa,6
Iranian,6
Bangladesh,6
Syria,6
Macao,6
HE Wang Yi State,6
Nelson Mandela,6
VAT,6
National Congress of the Communist Party of China,6
Russian,6
Latin America,6
Caribbean,6
Chile,6
the CPC Central Committee,5
Latin American,5
Indian,5
Singapore,5
Korean,5
Tsinghua University,5
Davos,4
CIIE,4
France,4
Summit,4
North,4
the UN Security Council,4
Afghanistan,4
the Foreign Ministry,4
CPC,4
ROK,4
The Security Council,4
Abu Dhabi,4
Asian,4
Hanoi,4
NPC,4
MFA,4
the Shanghai Cooperation Organization,3
Pacific,3
Sino-Japanese,3
Japanese,3
Qingdao,3
South,3
Palestine,3
BRF,3
Korean Peninsula,3
Putin,3
Initiative,3
inter-Korean,3
Tianjin,3
Schwab,3
the World Economic Forum,3
Jakarta,3
Secretariat,3
COC,3
South China Sea,3
the Regional Comprehensive Economic Partnership,3
the Greater Mekong Sub-region,3
Laos,3
Thailand,3
CPTPP,3
the Qingdao Summit,3
the Communist Party of China,3
LAC,3
the Central Conference on Work Relating to Foreign Affairs,2
Geneva,2
Argentina,2
Panama,2
BRICS,2
Papua New Guinea,2
Vladimir Putin,2
European,2
Wuhan,2
Southeast Asia,2
East Asian,2
the FOCAC Beijing Summit,2
Organization,2
the Shanghai Spirit,2
the BRICS Summit,2
Korea,2
Rakhine,2
Hainan,2
Eurasia,2
The Peoples Republic of China,2
New York,2
United Nations,2
Guterres,2
tandem,2
the General Assembly,2
North-South,2
The United Nations,2
Council,2
Iran,2
Nelson Mandelas,2
China-Africa,2
the State Council,2
Stein Eric Hagen,2
Orkla,2
Klaus Schwab,2
Gentlemen,2
the United Arab Emirates,2
Mohammed bin Zayed Al Nahyan,2
Dubai,2
Middle East,2
MOU,2
Party,2
the Chinese Peoples Institute of Foreign Affairs,2
Syrian,2
Afghan,2
Tsinghua,2
the Asia Pacific,2
the China-ASEAN Innovation Year,2
Joko Widodo,2
FDI,2
Speech,2
Nguyen Xuan Phuc,2
Hun Sen,2
Thongloun Sisoulith,2
Henry Van Thio,2
Prayut Chan-o-cha,2
Maritime Silk Road,2
Mekong,2
Vietnam,2
CPPCC,2
Bloomberg,2
China News Service,2
RIA Novosti,2
the Taiwan Strait,2
South Korea,2
the China-Japan Treaty,2
Xinhua News Agency,2
Phoenix TV,2
Guangdong,2
China Radio International,2
Americans,2
Westerners,2
Pakistan,2
the Ministry of Foreign Affairs,2
the Indo-Pacific,2
Pacific Ocean,2
the Chinese Foreign Ministry,2
Congress,2
Muoz,2
the Pacific Ocean,2
Chilean,2
Michelle Bachelet,2
trans-Pacific,2
Science and Technology Partnership,2
Silk Road,2
the Communist Party,1
the Piraeus Port,1
FOCAC Beijing Summit,1
