entity,count
China,1171
Chinese,362
Xi Jinping,139
Africa,115
the United States,84
African,57
Asia,46
ASEAN,42
Russia,39
Taiwan,39
Asia-Pacific,38
San Francisco,35
BRI,30
GDI,28
Viet Nam,27
GSI,27
SCO,27
the Peoples Republic of China,25
Asian,25
South Africa,25
CPC,24
Palestinian,24
China-Africa,24
the Global Security Initiative,22
APEC,22
American,22
Central Asian,22
the Global Development Initiative,21
Ukraine,21
Qin Gang,20
the Global Civilization Initiative,19
BRICS,19
Wang Yi,17
Japan,17
Vietnamese,16
the Communist Party of China,15
Palestine,15
COVID-,15
the UN Charter,15
Belt,14
Central Asia,14
HE Xi Jinping,13
BRF,13
Joe Biden,12
the Asia-Pacific,12
IOMed,12
GCI,11
Beijing,11
Europe,11
trans-Himalaya,10
the CPC Central Committee,9
Road Forum for International Cooperation,9
Japanese,9
Viet Nams,8
Xizang,8
the Middle East,8
Xi Jinpings,8
Bali,8
The United States,8
Johannesburg,8
the United Nations,8
South-South,8
APT,8
the Taiwan Strait,8
Shanghai,8
Hong Kong,7
South African,7
the UN Security Council,7
Keynote Speech,7
South Asian,7
CPC National Congress,7
Arab,7
Party,6
Gaza,6
Ramaphosa,6
Biden,6
Earth,6
Silk Road,6
Middle East,6
Cuba,6
South Asia,6
Iran,6
Nguyen Phu Trong,5
Ho Chi Minh,5
Guangxi,5
the Council of Heads of State,5
National Congress,5
the Global South,5
East Asia,5
TAC,5
Matamela Cyril Ramaphosa,5
the African Union,5
the European Union,5
Saudi Arabia,5
COVID,5
Hanoi,4
the Chinese Peoples Political Consultative Conference,4
Iowa,4
the Third Belt and,4
the BRICS Summit,4
Speech,4
Friends,4
Hangzhou,4
Summit,4
Joko Widodo,4
Southeast Asia,4
FOCAC,4
Hainan,4
Afghanistan,4
Initiative,4
Nuclear-Weapon States,4
Putin,4
CDC,4
Asia Pacific,3
the Comprehensive and Progressive Agreement for,3
Trans-Pacific Partnership,3
Israeli,3
Seattle,3
the Asia-Pacific region,3
the Putrajaya Vision,3
Belt and Road,3
Flying Tigers,3
Zhejiang Province,3
Eurasian,3
Luban Workshops,3
India,3
Colleagues,3
Jakarta,3
the Regional Comprehensive Economic Partnership,3
the AU Conference Center,3
South Africas,3
Councilor,3
West,3
The China Development Forum,3
the Group of Friends of the,3
Confucius,3
The Global Security Initiative,3
Strait,3
National Congress of the Communist Party of China,3
LAS,3
Fukushima,3
Iranian,3
Middle Eastern,3
HE Qin Gang,3
the AU Commission,3
the Central Committee Of the Communist Party of China,2
Yunnan,2
the Cat Linh-Ha Dong,2
the Viet Nam Fatherland Front,2
Young Friends,2
Vo Van Thuong,2
the China-Viet Nam,2
Asians,2
United Nations,2
Xinjiang,2
The Global Development Initiative,2
the Palestinian National Authority,2
the Political Bureau,2
the Working Group on Enhancing Climate Action,2
the United Nations Charter,2
Global Digital Trade Expo,2
WTO,2
a Free Trade Area of the Asia-Pacific,2
the Regional Comprehensive Economic Partnership Agreement,2
CPTPP,2
the Business Community Ladies and Gentlemen,2
Americans,2
America,2
Californians,2
Shaanxi Province,2
the Peoples Republic,2
the APEC Economic Leaders Meeting,2
HE Wang Yi,2
Ocean Governance,2
the South China Sea,2
South,2
HE Li Qiang,2
the State Council of the Peoples Republic of China,2
the Council of Heads of Government,2
Kyrgyz,2
Organization,2
trans-Caspian,2
the New International Land-Sea Trade Corridor,2
the Silk Road Fund,2
the New Era,2
Pakistan,2
Sri Lanka,2
Myanmar,2
the Olympic Movement,2
The China-Europe Railway Express,2
Havana,2
the Bandung Spirit,2
UNGA,2
Uganda,2
Global Development,2
Indonesian,2
East Asian,2
China-Africa Cooperation,2
the China-Africa,2
Vladimir Putin,2
