entity,count
China,888
Chinese,264
Africa,130
African,93
Canada,86
Arab,59
Russia,58
the United States,40
Wen,40
APEC,34
SCO,34
Hu Jintao,29
the Peoples Republic of China,29
Egypt,29
Asia,26
the Chinese Government,21
Tibet,20
Taiwan,19
Asian,18
China-Africa,17
Europe,16
Canadian,16
Shanghai,15
Russian,15
Kyoto Protocol,14
European,13
IMF,13
the World Economic Forum,13
London,12
Medvedev,12
Copenhagen,11
IPR,11
Tanzania,11
Wenchuan,11
the State Council,11
the CPC Central Committee,11
china,11
the United Nations Framework Convention on Climate Change,10
South-South,10
Dear Colleagues,10
the Asia-Pacific,10
The Chinese Government,10
Britain,10
Straits,9
HE Wen Jiabao,9
the State Council of the Peoples Republic of China,9
HE Hu Jintao,9
Yang,9
the United Nations,9
Japan,9
Obama,9
Asia-Europe,9
Beijing,8
the Asia-Pacific region,8
FOCAC,8
Dalai,8
Conference,7
Doha,7
UNFCCC,7
Wen Jiabao,7
ROK,7
Sichuan,7
el hombre,7
Macao,6
Speech,6
WTO,6
Middle East,6
China-Africa Cooperation,6
Muslim,6
Davos,6
Clinton,6
Yekaterinburg,6
Afghanistan,6
the Central Military Commission,6
New China,5
Hong Kong,5
Summit,5
the Millennium Development Goals,5
Islamic,5
Islam,5
the Middle East,5
the UN Millennium Development Goals,5
the International Finance Corporation,5
Wang Qishan,5
Dalian,5
Washington,5
the World Bank,5
the National Program,5
Dai,5
Chair,4
North,4
South,4
Western,4
Egyptian,4
New York,4
NPT,4
IAEA,4
Ban Ki-moon,4
Klaus Schwab,4
the Korean Peninsula,4
Iranian,4
Treaty,4
Stephen Harper,4
Vancouver,4
BRIC,4
the International Monetary Fund,4
Friends,4
Kikwete,4
Cambridge,4
han,4
the Taiwan Straits,3
West,3
Rome,3
SME,3
the World Food Summit,3
Singapore,3
Gentlemen,3
BIE,3
the Western Development Strategy,3
East Asian,3
the UN Security Council,3
Lee Myung-bak,3
the New Champions,3
NPL,3
COD,3
Geneva,3
Geithner,3
HE Yang,3
the Pacific Ocean,3
Party,3
Tanzanian,3
the G Summit on Financial Markets,3
the World Economy,3
Ministro Wen Jiabao,3
la coexistencia,3
the Macao Special Administrative Region,2
the Scientific Outlook on Development,2
Deng Xiaoping Theory,2
The United Nations Framework Convention on Climate Change,2
Copenhagen Conference,2
the National Climate Change Program,2
the European Union,2
the United Nations Millennium Development Goals,2
the G Summit,2
Pittsburgh,2
Asia-Pacific,2
Yang Jiechi,2
Arab League,2
Cairo,2
Amr Moussa,2
Eastern,2
Wens,2
Nazif,2
Mubarak,2
Sharm El Sheikh,2
The China-Africa Development Fund,2
the League of Arab States,2
Nile,2
the Western China International Economy and Trade Fair,2
East,2
Tianjin,2
Eurasia,2
the Shanghai Cooperation Organization SCO,2
the Closing Ceremony,2
Putin,2
Hatoyama,2
Japanese,2
the Fissile Material Cut-off Treaty,2
the International Atomic Energy Agency,2
Dear Colleagues Ladies and Gentlemen,2
The United Nations,2
Influenza A,2
Dai Bingguo,2
Switzerland,2
WEF,2
Murphy,2
Dear Friends,2
Earth,2
Northeast Asia,2
Darfur,2
the Conference on Disarmament,2
The Conference on Disarmament,2
The United States,2
Pittsburg,2
Oriental,2
the World Financial and Economic Crisis,2
G London,2
Luncheon Hosted,2
Canada China Business Council,2
Ottawa,2
Honorary,2
Andre Desmarais,2
Peter Kruyt,2
Peter Harder,2
Honorable Joe Clark,2
Honorable,2
Flaherty,2
Baird,2
the Canada China Business Council CCBC,2
Cannon,2
